NCES_DISTR,District,DISTRICT_NAME,GT_SPEND_DIFF,TAX_DIFF,STATE_DIFF,TOT_MONEY_DIFF,SDLEA10,NAME,NAME2,TEA.District.Type,TEA.Description,NCES.District.Type,NCES.Description,Charter.School..Y.N.,SCH_GTENR_HI_M,SCH_GTENR_HI_F,GT_Hispanic,SCH_GTENR_AM_M,SCH_GTENR_AM_F,GT_AM,SCH_GTENR_AS_M,SCH_GTENR_AS_F,GT_AS,SCH_GTENR_HP_M,SCH_GTENR_HP_F,GT_HP,SCH_GTENR_BL_M,SCH_GTENR_BL_F,GT_BL,SCH_GTENR_WH_M,SCH_GTENR_WH_F,GT_WH,TOT_GTENR_M,TOT_GTENR_F,TOT_GT,LEA_STATE,LEA_STATE_NAME,LEA_NAME,SCH_PSENR_HI_M,SCH_PSENR_HI_F,SCH_PSENR_AM_M,SCH_PSENR_AM_F,SCH_PSENR_AS_M,SCH_PSENR_AS_F,SCH_PSENR_HP_M,SCH_PSENR_HP_F,SCH_PSENR_BL_M,SCH_PSENR_BL_F,SCH_PSENR_WH_M,SCH_PSENR_WH_F,SCH_PSENR_TR_M,SCH_PSENR_TR_F,TOT_PSENR_M,TOT_PSENR_F,SCH_PSENR_LEP_M,SCH_PSENR_LEP_F,SCH_PSENR_IDEA_M,SCH_PSENR_IDEA_F,SCH_ENR_HI_M,SCH_ENR_HI_F,SCH_ENR_AM_M,SCH_ENR_AM_F,SCH_ENR_AS_M,SCH_ENR_AS_F,SCH_ENR_HP_M,SCH_ENR_HP_F,SCH_ENR_BL_M,SCH_ENR_BL_F,SCH_ENR_WH_M,SCH_ENR_WH_F,SCH_ENR_TR_M,SCH_ENR_TR_F,TOT_ENR_M,TOT_ENR_F,SCH_ENR_HI,SCH_ENR_AM,SCH_ENR_AS,SCH_ENR_HP,SCH_ENR_BL,SCH_ENR_TR,TOT_ENR
4842990,71908,TORNILLO ISD,-7348,90074,732060,713587,42990,Tornillo ISD,Tornillo,G,Non-metropolitan Stable,41,Rural-Fringe,N,26,23,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,23,49,TX,TEXAS,TORNILLO ISD,37,33,0,0,0,0,0,0,0,0,0,2,0,0,37,35,29,21,2,1,527,571,0,1,0,0,0,0,0,0,0,3,0,0,527,575,1098,1,0,0,0,0,1102
4843110,221905,TRENT ISD,-8726,660837,368484,911312,43110,Trent ISD,Trent,H,Rural,42,Rural-Distant,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,13,7,6,13,TX,TEXAS,TRENT ISD,0,0,0,0,0,0,0,0,0,0,6,5,0,0,6,5,0,0,0,0,9,3,0,0,1,0,3,2,0,0,71,76,0,0,84,81,12,0,1,5,0,0,165
4843140,74912,TRENTON ISD,8785,740506,1806063,2544939,43140,Trenton ISD,Trenton,F,Non-metropolitan Fast Growing,42,Rural-Distant,N,2,1,3,0,0,0,0,0,0,0,0,0,1,0,1,28,13,41,31,15,46,TX,TEXAS,TRENTON ISD,1,2,0,0,0,0,0,0,0,0,15,7,0,0,16,9,0,2,2,0,56,54,1,3,2,0,0,0,6,6,243,186,7,4,315,253,110,4,2,0,12,11,568
4843170,107907,TRINIDAD ISD,-3889,27627,689066,631627,43170,Trinidad ISD,Trinidad,H,Rural,42,Rural-Distant,N,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,4,3,4,7,TX,TEXAS,TRINIDAD ISD,2,0,0,0,0,0,0,0,0,1,1,2,3,1,6,4,2,0,0,0,18,16,0,0,0,0,0,0,15,6,55,46,9,9,97,77,34,0,0,0,21,18,174
4843200,228903,TRINITY ISD,-36274,708991,2227154,4502673,43200,Trinity ISD,Trinity,G,Non-metropolitan Stable,41,Rural-Fringe,N,3,4,7,0,0,0,0,0,0,0,0,0,1,1,2,25,24,49,30,30,60,TX,TEXAS,TRINITY ISD,4,5,0,0,0,0,0,0,4,1,16,12,1,1,25,19,3,0,2,0,150,154,1,1,5,1,1,0,95,110,325,324,23,26,600,616,304,2,6,1,205,49,1216
4843230,212904,TROUP ISD,23666,970268,982712,1983804,43230,Troup ISD,Troup,G,Non-metropolitan Stable,42,Rural-Distant,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,32,59,28,33,61,TX,TEXAS,TROUP ISD,4,1,0,0,0,0,0,0,2,4,14,9,1,4,21,18,0,1,2,1,84,65,0,2,4,3,2,0,64,69,381,369,23,18,558,526,149,2,7,2,133,41,1084
4843260,14910,TROY ISD,-26364,616733,1780610,2427999,43260,Troy ISD,Troy,G,Non-metropolitan Stable,41,Rural-Fringe,N,4,7,11,0,0,0,0,1,1,0,0,0,0,2,2,41,44,85,45,55,100,TX,TEXAS,TROY ISD,11,11,0,0,0,0,0,0,0,1,23,29,1,1,35,42,1,2,12,5,226,198,3,5,1,2,0,0,12,17,543,488,28,12,813,722,424,8,3,0,29,40,1535
4843290,1908,WESTWOOD ISD,-14149,-296825,2337675,1711004,43290,Westwood ISD,Westwood,G,Non-metropolitan Stable,32,Town-Distant,N,2,4,6,0,0,0,0,0,0,0,0,0,3,0,3,12,15,27,17,19,36,TX,TEXAS,WESTWOOD ISD,15,14,1,0,0,0,0,0,2,5,21,18,0,0,39,37,4,5,5,2,219,193,7,2,3,4,0,0,140,131,399,409,34,23,802,762,412,9,7,0,271,57,1564
4843320,219903,TULIA ISD,25872,185499,-467728,185154,43320,Tulia ISD,Tulia,G,Non-metropolitan Stable,33,Town-Remote,N,8,16,24,0,2,2,0,0,0,0,0,0,1,2,3,15,8,23,24,28,52,TX,TEXAS,TULIA ISD,23,19,0,0,0,0,0,0,2,3,5,5,2,1,32,28,4,5,13,3,344,352,1,1,0,1,0,0,51,47,158,128,6,8,560,537,696,2,1,0,98,14,1097
4843350,178912,TULOSO-MIDWAY ISD,22572,2775242,2429693,4097925,43350,Tuloso-Midway ISD,Tuloso-Midway,D,Other Central City Suburban,11,City-Large,N,76,91,167,0,0,0,0,3,3,0,0,0,1,0,1,22,34,56,102,128,230,TX,TEXAS,TULOSO-MIDWAY ISD,35,28,0,0,0,0,0,0,0,0,9,5,0,1,44,34,9,4,12,4,1503,1502,3,4,7,9,0,1,20,22,334,412,15,17,1882,1967,3005,7,16,1,42,32,3849
4843400,96905,TURKEY-QUITAQUE ISD,-4067,-49728,201079,319884,43400,Turkey-Quitaque ISD,Turkey-Quitaque,H,Rural,43,Rural-Remote,N,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6,5,5,10,TX,TEXAS,TURKEY-QUITAQUE ISD,2,2,0,0,0,0,0,0,0,0,2,2,0,0,4,4,0,1,2,0,31,35,0,0,0,0,0,0,2,1,73,57,2,0,108,93,66,0,0,0,3,2,201
4843470,212905,TYLER ISD,-253248,8367368,9735387,18595504,43470,Tyler ISD,Tyler,C,Other Central City,12,City-Midsize,N,360,350,710,2,2,4,23,34,57,0,0,0,75,100,175,404,343,747,882,848,1730,TX,TEXAS,TYLER ISD,192,173,0,0,2,2,0,0,111,108,53,39,4,3,362,325,108,108,88,45,4305,4038,21,18,132,129,0,3,2609,2469,1989,1851,215,213,9271,8721,8343,39,261,3,5078,428,17992
4843530,230908,UNION GROVE ISD,16,-34588,1560464,1584246,43530,Union Grove ISD,Union Grove,H,Rural,41,Rural-Fringe,N,2,1,3,0,2,2,0,1,1,0,0,0,0,0,0,30,37,67,33,43,76,TX,TEXAS,UNION GROVE ISD,1,2,0,0,0,0,0,0,0,0,10,5,0,0,11,7,1,0,1,0,19,20,3,2,0,2,0,0,4,4,342,328,8,8,376,364,39,5,2,0,8,16,740
4843560,230904,UNION HILL ISD,40049,162583,626306,770451,43560,Union Hill ISD,Union Hill,H,Rural,42,Rural-Distant,N,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,6,6,12,8,8,16,TX,TEXAS,UNION HILL ISD,1,1,0,0,0,0,0,0,0,0,16,8,0,2,17,11,1,0,0,0,29,25,2,1,0,4,0,0,9,11,141,131,14,9,195,181,54,3,4,0,20,23,376
4843650,240903,UNITED ISD,-78490,37774241,3318819,31652816,43650,United ISD,United,C,Other Central City,11,City-Large,N,2550,2867,5417,0,0,0,29,30,59,1,0,1,8,6,14,29,31,60,2620,2937,5557,TX,TEXAS,UNITED ISD,962,882,0,0,3,2,1,0,1,0,2,4,0,1,969,889,630,625,141,71,22088,20717,4,2,77,66,5,2,35,23,131,131,6,16,22346,20957,42805,6,143,7,58,22,43303
4843680,232904,UTOPIA ISD,-2304,2597,263973,272950,43680,Utopia ISD,Utopia,H,Rural,43,Rural-Remote,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9,4,5,9,TX,TEXAS,UTOPIA ISD,1,2,0,0,0,0,0,0,0,0,4,3,0,0,5,5,0,0,1,0,32,20,0,0,1,2,0,0,0,2,91,83,0,7,124,114,52,0,3,0,2,7,238
4843720,232903,UVALDE CISD,-43510,-1183474,-333113,-2366328,43720,Uvalde Cons ISD,Uvalde Cons,E,Independent Town,33,Town-Remote,N,192,191,383,1,1,2,5,1,6,0,0,0,1,0,1,28,26,54,229,220,449,TX,TEXAS,UVALDE CISD,158,147,0,0,1,0,0,0,0,2,10,13,0,1,169,163,22,15,19,12,2038,1981,3,2,11,8,2,2,5,10,216,176,15,13,2290,2192,4019,5,19,4,15,28,4482
4843740,122902,VALENTINE ISD,0,6937,103400,35958,43740,Valentine ISD,Valentine,H,Rural,43,Rural-Remote,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TX,TEXAS,VALENTINE ISD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,0,0,0,1,0,0,0,0,3,6,0,0,14,19,23,0,1,0,0,0,33
4843760,18904,VALLEY MILLS ISD,-3194,187160,1200609,1597857,43760,Valley Mills ISD,Valley Mills,H,Rural,42,Rural-Distant,N,2,2,4,0,0,0,0,0,0,0,0,0,0,1,1,10,12,22,12,15,27,TX,TEXAS,VALLEY MILLS ISD,1,4,0,0,0,0,0,0,0,2,10,10,1,0,12,16,0,0,1,1,88,73,0,0,0,2,0,0,10,10,208,231,11,9,317,325,161,0,2,0,20,20,642
4843800,108916,VALLEY VIEW ISD,-52182,949679,1645435,2942162,43800,Valley View ISD (Hidalgo),Valley View (Hidalgo),D,Other Central City Suburban,21,Suburb-Large,N,142,172,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,172,314,TX,TEXAS,VALLEY VIEW ISD,156,151,0,0,0,0,0,0,0,0,0,0,0,0,156,151,140,129,7,1,2284,2188,0,0,0,0,0,0,0,0,3,5,0,0,2287,2193,4472,0,0,0,0,0,4480
4843860,49903,VALLEY VIEW ISD,9129,537795,1507632,2140219,43860,Valley View ISD (Cooke),Valley View (Cooke),H,Rural,42,Rural-Distant,N,6,5,11,0,0,0,0,0,0,0,0,0,0,0,0,11,18,29,19,23,42,TX,TEXAS,VALLEY VIEW ISD,7,4,0,0,0,0,0,0,0,0,11,12,0,0,18,16,7,1,1,2,120,103,2,1,1,0,0,1,0,2,278,287,6,8,407,402,223,3,1,1,2,14,809
4843890,91908,VAN ALSTYNE ISD,103,1992100,1895841,3985405,43890,Van Alstyne ISD,Van Alstyne,D,Other Central City Suburban,41,Rural-Fringe,N,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,46,53,99,49,61,110,TX,TEXAS,VAN ALSTYNE ISD,3,1,0,0,0,0,0,0,0,0,4,7,0,0,7,8,0,0,4,0,112,99,7,6,6,8,0,0,18,9,639,610,38,47,820,779,211,13,14,0,27,85,1599
4843920,234906,VAN ISD,-11880,868007,2300883,-3078709,43920,Van ISD,Van,D,Other Central City Suburban,32,Town-Distant,N,6,3,9,1,0,1,0,0,0,0,0,0,0,2,2,72,65,137,83,74,157,TX,TEXAS,VAN ISD,8,15,0,0,1,0,0,0,2,1,25,26,2,2,38,44,5,9,4,4,250,240,5,5,2,4,1,0,41,34,904,855,40,42,1243,1180,490,10,6,1,75,82,2423
4843950,158906,VAN VLECK ISD,-17111,-3715384,2393057,-829727,43950,Van Vleck ISD,Van Vleck,G,Non-metropolitan Stable,41,Rural-Fringe,N,9,6,15,0,0,0,0,0,0,0,0,0,1,0,1,25,42,67,38,48,86,TX,TEXAS,VAN VLECK ISD,6,3,0,0,0,0,0,0,0,0,1,4,0,0,7,7,1,0,0,1,170,146,1,0,0,3,1,0,52,49,290,298,22,15,536,511,316,1,3,1,101,37,1047
4843980,180902,VEGA ISD,-7990,-3978,229266,848437,43980,Vega ISD,Vega,H,Rural,43,Rural-Remote,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,17,9,8,17,TX,TEXAS,VEGA ISD,3,1,0,0,0,0,0,0,0,0,5,8,1,0,9,9,0,0,0,1,37,37,1,2,2,2,0,0,0,0,150,130,4,4,194,175,74,3,4,0,0,8,369
