"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AltQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","A","20230101","2023","52","2023","398","KAZ","Kazakhstan","X","Export","842","USA","USA","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","2","false","5","u","2","false","2.3","false","0","false",,"506.36","506.36","0","false","true",
"C","A","20230101","2023","52","2023","428","LVA","Latvia","X","Export","842","USA","USA","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","1776","false","0","false",,"1330156.112","1330156.112","0","false","true",
"C","A","20230101","2023","52","2023","440","LTU","Lithuania","X","Export","842","USA","USA","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","956.344","false","0","false",,"3187211","3187211","0","false","true",
"C","A","20230101","2023","52","2023","442","LUX","Luxembourg","X","Export","842","USA","USA","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","251.041","false","0","false",,"93118.291","93118.291","2","false","true",
"C","A","20230101","2023","52","2023","458","MYS","Malaysia","X","Export","842","USA","USA","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","5123876.246","true","0","false",,"6793595100.432","6793595100.432","4","false","true",
"C","A","20230101","2023","52","2023","470","MLT","Malta","X","Export","842","USA","USA","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","14486","false","0","false",,"46391458.185","46391458.185","0","false","true",
"C","A","20230101","2023","52","2023","484","MEX","Mexico","X","Export","842","USA","USA","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"2485042047","2485042047","4","false","true",
"C","A","20230101","2023","52","2023","508","MOZ","Mozambique","X","Export","842","USA","USA","0","W00","World","H6","HS","true","8541","Semiconductor devices (e.g. diodes, transistors, semiconductor based transducers); including photovoltaic cells assembled or not in modules or panels, light-emitting diodes (LED) assembled with other LEDs or not, mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","342","false","0","false",,"265000","265000","0","false","true",
"C","A","20230101","2023","52","2023","528","NLD","Netherlands","X","Export","842","USA","USA","0","W00","World","H6","HS","true","8541","Semiconductor devices (e.g. diodes, transistors, semiconductor based transducers); including photovoltaic cells assembled or not in modules or panels, light-emitting diodes (LED) assembled with other LEDs or not, mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","264199","false","0","false",,"25634894.852","25634894.852","2","false","true",
"C","A","20230101","2023","52","2023","554","NZL","New Zealand","X","Export","842","USA","USA","0","W00","World","H6","HS","true","8541","Semiconductor devices (e.g. diodes, transistors, semiconductor based transducers); including photovoltaic cells assembled or not in modules or panels, light-emitting diodes (LED) assembled with other LEDs or not, mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","0","true","0","false",,"12205680.392","12205680.392","6","false","true",
"C","A","20230101","2023","52","2023","558","NIC","Nicaragua","X","Export","842","USA","USA","0","W00","World","H6","HS","true","8541","Semiconductor devices (e.g. diodes, transistors, semiconductor based transducers); including photovoltaic cells assembled or not in modules or panels, light-emitting diodes (LED) assembled with other LEDs or not, mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","4.22","false","0","false",,"287.74","287.74","0","false","true",
